"Scan URL","Page Apex Domain"
"https://urlscan.io/result/019dd418-2672-7370-bac8-1428189ca9b7/","forexcapitals12.com"
"https://urlscan.io/result/019dd418-41a5-71fe-b519-eda2431aa5c6/","mexcues.com"
"https://urlscan.io/result/019dd418-246d-770b-bda0-57aaac2e366f/","mexcuehs.com"
"https://urlscan.io/result/019dc4c7-737b-731c-89f0-04977f9cc3b0/","batonrohhj.com"
"https://urlscan.io/result/019dc225-781f-71a9-976c-2d90314405c0/","tufejix.asia"
"https://urlscan.io/result/019dbb14-5512-7129-a0c6-e7d60123b268/","unsiki.one"
"https://urlscan.io/result/019dbb13-ce3d-70ba-a8e0-59ab92363a23/","unsiki.art"
"https://urlscan.io/result/019dbb10-b65b-733e-b65e-3f7db232a285/","unsiki.cc"
"https://urlscan.io/result/019db9dc-eeac-726c-b3db-0c8395933033/","tufejix.cyou"
"https://urlscan.io/result/019db9da-b558-706e-8380-acc02cffa156/","tufejix.xyz"
"https://urlscan.io/result/019db9da-916a-7685-a63d-4ec47ebc78e8/","tufejix.bond"
"https://urlscan.io/result/019db9da-3f75-706a-a8f0-d726c13d28fa/","forexcapitals5.com"
"https://urlscan.io/result/019db9d7-aff5-7317-9fb1-968cce364048/","tufejix.top"
"https://urlscan.io/result/019db7e5-3bba-73a0-9dad-22f1e00467a7/","batonqgoli.com"
"https://urlscan.io/result/019db64a-2361-7421-b272-1d6164d565e1/","mgbxsef-ufe.top"
"https://urlscan.io/result/019db581-a4b5-705b-83fc-a7004f986c9b/","mgbxvuy.com"
"https://urlscan.io/result/019db581-9abe-70bb-8acd-890e364a6b5b/","mbexufwhe.com"
"https://urlscan.io/result/019db581-a001-71c9-82d3-b39cb5571fca/","mgbxsde.com"
"https://urlscan.io/result/019db581-9945-721c-901e-0820236cd2c4/","mbexudfs.com"
"https://urlscan.io/result/019db581-96b4-77df-aadd-792598ae5fd1/","mbexhgyd.com"
"https://urlscan.io/result/019db581-92c7-72e8-a5dc-080821227fad/","mexcduef.com"
"https://urlscan.io/result/019db562-eb09-7291-af80-85e91a0fa2a9/","bitstamp.one"
"https://urlscan.io/result/019db137-8fcf-74ea-8817-63cf95842a63/","weendash.icu"
"https://urlscan.io/result/019db0dc-90e6-740c-b6da-8aba7929db72/","kieixpapp.top"
"https://urlscan.io/result/019db0dc-9531-760e-805a-62eb890945a2/","ecmarkest.jp"
"https://urlscan.io/result/019daf34-4b66-712f-8d35-fe048903fdf7/","tufejix.shop"
"https://urlscan.io/result/019da6a1-c965-7588-bf7c-8d2138ef59f0/","batonhoufa.com"
"https://urlscan.io/result/019da69d-733a-775b-b968-47e619bf7a29/","batonexz.com"
"https://urlscan.io/result/019da2bb-c36a-777a-ae85-07bb813d23b6/","batonexs.com"
"https://urlscan.io/result/019da28a-b6bd-72b8-a2e5-4dba74174e9b/","onchnia.com"
"https://urlscan.io/result/019da288-9602-7505-bf2b-73cf836ffebe/","securexat.cc"
"https://urlscan.io/result/019d9e23-55de-70cb-8843-edbf7b0c8378/","otcaipro.com"
"https://urlscan.io/result/019d9d51-68e5-73dc-920e-c67fa0951375/","cme-s.vip"
"https://urlscan.io/result/019d9d51-86b2-73a8-b4d9-16556991c2dd/","zunepok-ex.win"
"https://urlscan.io/result/019d97c1-b330-775b-8db0-5224f36414bc/","batonexus.com"
"https://urlscan.io/result/019d97c1-ab94-750f-8bca-c7bedd0e8a3f/","batonproge.com"
"https://urlscan.io/result/019d97c1-a6de-72d0-948c-d42f6cb32bb9/","betonaxcaptial.com"
"https://urlscan.io/result/019d97c1-89f7-720b-9959-c6f585b4cc14/","spmdym.shop"
