"Submit Date","Submit URL","Submit Country","Submit State ","Submit Status","Submit Error","Finish Date","Visibility","Result URL","Task Domain","Task Apex Domain","Task Tags","Page Status","Page Country","Page IP","Page PTR Record","Page ASN","Page AS Name","Page Server","Page URL","Page Domain","Page Apex Domain","Malicious","Brands","Labels"
"2026-04-28T01:00:39.029Z","https://www.cmepc.art/","","done","","","2026-04-28T01:00:53.150Z","unlisted","https://urlscan.io/result/019dd19a-3faa-72af-aa5c-afd9ce0e3e7c/","www.cmepc.art","cmepc.art","","200","","172.67.159.67","","AS13335","CLOUDFLARENET - Cloudflare, Inc., US","cloudflare","https://www.cmepc.art/","www.cmepc.art","cmepc.art","true","generic","visual.brandai,hosting.cdn"
"2026-04-28T00:58:27.787Z","https://lambvdx.com/","","done","","","2026-04-28T00:58:41.262Z","unlisted","https://urlscan.io/result/019dd198-41b6-736d-9e90-cf1b0d33577e/","lambvdx.com","lambvdx.com","","200","","188.114.97.3","","AS13335","CLOUDFLARENET - Cloudflare, Inc., US","cloudflare","https://lambvdx.com/","lambvdx.com","lambvdx.com","false","","visual.brandai,hosting.cdn"
"2026-04-28T00:58:27.787Z","https://www.vantage-tw.com/","","done","","","2026-04-28T00:58:38.769Z","unlisted","https://urlscan.io/result/019dd198-470e-71c9-b361-0a6eb8359a37/","www.vantage-tw.com","vantage-tw.com","","200","","104.21.69.221","","AS13335","CLOUDFLARENET - Cloudflare, Inc., US","cloudflare","https://www.vantage-tw.com/","www.vantage-tw.com","vantage-tw.com","false","","visual.brandai,hosting.cdn"
"2026-04-28T00:58:27.787Z","https://lmaxproys.com/","","done","","","2026-04-28T00:58:42.235Z","unlisted","https://urlscan.io/result/019dd198-4be9-736c-a127-941ab061c566/","lmaxproys.com","lmaxproys.com","","200","HK","38.246.249.237","","AS979","NETLAB-SDN - NetLab Global, US","nginx","https://lmaxproys.com/","lmaxproys.com","lmaxproys.com","false","","visual.brandai"
